frame.number,frame.time_epoch,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,ip.ttl,tcp.flags
"289","1411631289.697111000","56","37.187.81.8","185.31.48.30","443","21461","64","17"
"290","1411631289.731915000","56","185.31.48.30","37.187.81.8","21461","443","119","17"
"291","1411631289.731973000","56","37.187.81.8","185.31.48.30","443","21461","64","16"
"292","1411631289.731994000","56","185.31.48.30","37.187.81.8","21461","443","119","16"
"293","1411631295.346849000","68","185.31.48.30","37.187.81.8","23328","443","119","2"
"294","1411631295.346877000","68","37.187.81.8","185.31.48.30","443","23328","64","18"
"295","1411631295.381872000","56","185.31.48.30","37.187.81.8","23328","443","119","16"
"296","1411631295.382233000","573","185.31.48.30","37.187.81.8","23328","443","119","24"
"297","1411631295.382258000","56","37.187.81.8","185.31.48.30","443","23328","64","16"
"298","1411631295.382686000","200","37.187.81.8","185.31.48.30","443","23328","64","24"
"299","1411631295.418179000","107","185.31.48.30","37.187.81.8","23328","443","119","24"
"300","1411631295.418686000","717","185.31.48.30","37.187.81.8","23328","443","119","24"
"301","1411631295.418701000","56","37.187.81.8","185.31.48.30","443","23328","64","16"
"302","1411631295.455911000","540","37.187.81.8","185.31.48.30","443","23328","64","24"
"303","1411631295.695453000","56","185.31.48.30","37.187.81.8","23328","443","119","16"
"304","1411631300.458717000","87","37.187.81.8","185.31.48.30","443","23328","64","24"
"305","1411631300.458809000","56","37.187.81.8","185.31.48.30","443","23328","64","17"
"306","1411631300.493774000","56","185.31.48.30","37.187.81.8","23328","443","119","16"
"307","1411631300.493952000","56","185.31.48.30","37.187.81.8","23328","443","119","17"
"308","1411631300.493967000","56","37.187.81.8","185.31.48.30","443","23328","64","16"
"309","1411631305.324561000","68","185.31.48.30","37.187.81.8","32731","443","119","2"
"310","1411631305.324613000","68","37.187.81.8","185.31.48.30","443","32731","64","18"
"311","1411631305.359681000","56","185.31.48.30","37.187.81.8","32731","443","119","16"
"312","1411631305.360218000","573","185.31.48.30","37.187.81.8","32731","443","119","24"
"313","1411631305.360258000","56","37.187.81.8","185.31.48.30","443","32731","64","16"
"314","1411631305.361243000","200","37.187.81.8","185.31.48.30","443","32731","64","24"
"315","1411631305.396978000","107","185.31.48.30","37.187.81.8","32731","443","119","24"
"316","1411631305.397396000","717","185.31.48.30","37.187.81.8","32731","443","119","24"
"317","1411631305.397419000","56","37.187.81.8","185.31.48.30","443","32731","64","16"
"318","1411631305.441159000","540","37.187.81.8","185.31.48.30","443","32731","64","24"
"319","1411631305.676207000","56","185.31.48.30","37.187.81.8","32731","443","119","16"
"320","1411631310.445913000","87","37.187.81.8","185.31.48.30","443","32731","64","24"
"321","1411631310.445987000","56","37.187.81.8","185.31.48.30","443","32731","64","17"
"322","1411631310.481566000","56","185.31.48.30","37.187.81.8","32731","443","119","16"
"323","1411631310.482615000","56","185.31.48.30","37.187.81.8","32731","443","119","17"
"324","1411631310.482653000","56","37.187.81.8","185.31.48.30","443","32731","64","16"
"325","1411631315.332609000","68","185.31.48.30","37.187.81.8","29619","443","119","2"
"326","1411631315.332658000","68","37.187.81.8","185.31.48.30","443","29619","64","18"
"327","1411631315.367690000","56","185.31.48.30","37.187.81.8","29619","443","119","16"
"328","1411631315.368289000","573","185.31.48.30","37.187.81.8","29619","443","119","24"
"329","1411631315.368346000","56","37.187.81.8","185.31.48.30","443","29619","64","16"
"330","1411631315.369248000","200","37.187.81.8","185.31.48.30","443","29619","64","24"
"331","1411631315.404801000","107","185.31.48.30","37.187.81.8","29619","443","119","24"
"332","1411631315.405354000","717","185.31.48.30","37.187.81.8","29619","443","119","24"
"333","1411631315.405390000","56","37.187.81.8","185.31.48.30","443","29619","64","16"
"334","1411631315.448852000","540","37.187.81.8","185.31.48.30","443","29619","64","24"
"335","1411631315.680882000","56","185.31.48.30","37.187.81.8","29619","443","119","16"
"336","1411631320.450692000","87","37.187.81.8","185.31.48.30","443","29619","64","24"
"337","1411631320.450804000","56","37.187.81.8","185.31.48.30","443","29619","64","17"
"338","1411631320.485857000","56","185.31.48.30","37.187.81.8","29619","443","119","16"
"339","1411631320.486099000","56","185.31.48.30","37.187.81.8","29619","443","119","17"
"340","1411631320.486120000","56","37.187.81.8","185.31.48.30","443","29619","64","16"
